# Program:featureCounts v1.5.3; Command:"featureCounts" "-t" "exon" "-D" "1500" "-p" "--primary" "-T" "3" "-s" "1" "-a" "/Users/benayoun/Softwares/Genomes/mm10_genes.gtf" "-o" "2022-03-30_PeriMac_NIA_aging_CLEAN_counts.txt" "PeriMac_NIA_AC41_YF1_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam" "PeriMac_NIA_AC41_YF2_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam" "PeriMac_NIA_AC41_YF3_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam" "PeriMac_NIA_AC41_YF4_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam" "PeriMac_NIA_AC41_YF5_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam" "PeriMac_NIA_AC41_OF1_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam" "PeriMac_NIA_AC41_OF2_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam" "PeriMac_NIA_AC41_OF3_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam" "PeriMac_NIA_AC41_OF4_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam" "PeriMac_NIA_AC41_OF5_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam" "PeriMac_NIA_AC41_YM1_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam" "PeriMac_NIA_AC41_YM2_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam" "PeriMac_NIA_AC41_YM3_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam" "PeriMac_NIA_AC41_YM4_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam" "PeriMac_NIA_AC41_YM5_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam" "PeriMac_NIA_AC41_OM1_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam" "PeriMac_NIA_AC41_OM2_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam" "PeriMac_NIA_AC41_OM3_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam" "PeriMac_NIA_AC41_OM4_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam" "PeriMac_NIA_AC41_OM5_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	PeriMac_NIA_AC41_YF1_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam	PeriMac_NIA_AC41_YF2_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam	PeriMac_NIA_AC41_YF3_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam	PeriMac_NIA_AC41_YF4_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam	PeriMac_NIA_AC41_YF5_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam	PeriMac_NIA_AC41_OF1_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam	PeriMac_NIA_AC41_OF2_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam	PeriMac_NIA_AC41_OF3_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam	PeriMac_NIA_AC41_OF4_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam	PeriMac_NIA_AC41_OF5_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam	PeriMac_NIA_AC41_YM1_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam	PeriMac_NIA_AC41_YM2_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam	PeriMac_NIA_AC41_YM3_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam	PeriMac_NIA_AC41_YM4_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam	PeriMac_NIA_AC41_YM5_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam	PeriMac_NIA_AC41_OM1_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam	PeriMac_NIA_AC41_OM2_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam	PeriMac_NIA_AC41_OM3_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam	PeriMac_NIA_AC41_OM4_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam	PeriMac_NIA_AC41_OM5_RNAseq_2lanes_STAR_Aligned.sortedByCoord.out.bam
Dhx40	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	86768849;86771030;86771894;86773804;86775660;86776615;86784879;86785757;86789167;86789486;86793162;86797623;86798922;86799420;86800969;86804257;86806460;86807438	86770261;86771258;86771963;86773898;86775768;86776729;86785036;86785837;86789349;86789572;86793261;86797754;86798988;86799647;86801088;86804402;86806627;86807660	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3724	1170	1048	797	839	994	721	892	739	434	1162	988	960	820	780	1263	820	858	646	899	778
Ypel2	chr11;chr11;chr11;chr11;chr11	86936425;86944573;86945933;86971809;86993592	86940688;86944681;86945976;86972122;86993762	-;-;-;-;-	4902	1805	1323	1557	1690	2229	1418	1671	1386	840	2068	1600	1720	1377	1486	2372	1314	1451	1920	1495	1027
Gdpd1	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	87033794;87035592;87037831;87041788;87045127;87045756;87056792;87059425;87063899;87073836	87035295;87035643;87037890;87041921;87045216;87045874;87056837;87059560;87063941;87074137	-;-;-;-;-;-;-;-;-;-	2484	38	17	27	32	55	24	52	24	12	29	24	37	16	20	42	33	37	47	37	32
Smg8	chr11;chr11;chr11;chr11	87077732;87080166;87083600;87084995	87078150;87081038;87083745;87086777	-;-;-;-	3221	310	345	218	249	280	286	296	227	157	354	354	275	227	231	358	311	298	322	318	251
Prr11	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	87089156;87096963;87097135;87098663;87099375;87101382;87103187;87103540;87106009;87108641	87091865;87097059;87097194;87098778;87099473;87101645;87103309;87103690;87106141;87108714	-;-;-;-;-;-;-;-;-;-	3827	72	61	34	15	3	66	23	24	24	41	116	97	38	59	59	75	68	51	54	168
Ska2	chr11;chr11;chr11;chr11	87109261;87116104;87117668;87121934	87109304;87116190;87117844;87122974	+;+;+;+	1349	47	49	36	17	26	38	24	19	22	57	61	37	22	36	37	42	30	28	33	41
Mir301	chr11	87113004	87113089	+	86	0	1	0	0	1	0	0	0	0	1	0	0	0	1	1	0	1	0	1	0
Trim37	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	87127075;87129716;87137590;87140485;87143127;87145464;87146934;87149296;87159821;87163819;87166602;87167440;87177849;87182421;87184884;87186379;87190074;87196821;87201318;87205933;87206764;87209769;87216437;87218252	87127494;87129817;87137630;87140601;87143214;87145586;87147057;87149363;87159945;87163869;87166683;87167516;87178028;87182535;87185102;87186515;87190159;87197015;87201626;87206055;87206953;87209887;87216547;87220686	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	5637	342	327	186	174	233	331	291	176	134	292	426	331	252	220	292	331	305	237	229	308
Ppm1e	chr11;chr11;chr11;chr11;chr11;chr11;chr11	87226906;87237130;87237432;87240603;87244269;87248932;87358449	87231928;87237223;87237575;87240791;87244468;87249050;87358994	-;-;-;-;-;-;-	6315	399	404	274	189	272	360	348	258	151	273	379	315	204	244	278	408	409	189	308	303
Rad51c	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	87377607;87377607;87380832;87380832;87388619;87388619;87389834;87389834;87395266;87395266;87397624;87397624;87401390;87401390;87402598;87402598;87404304;87404595	87379487;87379487;87380892;87380892;87388679;87388679;87389900;87389900;87395397;87395397;87397757;87397757;87401556;87401556;87402856;87402856;87404495;87404954	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	3314	33	42	15	17	16	36	20	4	12	31	35	39	15	32	41	39	23	16	37	31
Tex14	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	87405065;87427591;87433809;87433809;87474404;87474404;87484700;87484700;87486249;87486249;87493040;87493040;87494952;87494952;87496200;87496200;87497830;87497830;87499484;87499484;87509568;87509568;87511425;87511425;87512133;87512133;87513942;87513942;87516668;87516668;87519655;87519655;87520638;87520638;87522495;87522495;87527844;87527844;87532347;87532347;87533539;87533539;87535533;87535533;87536695;87536695;87538566;87538566;87538996;87538996;87542490;87542490;87543284;87543284;87549432;87549432;87551531;87551531;87554928;87554928;87555484;87555484	87405170;87427715;87433945;87433945;87474518;87474518;87484865;87484865;87486385;87486385;87493121;87493121;87495082;87495082;87496313;87496313;87497953;87497953;87499662;87499662;87509719;87509719;87511615;87511615;87512283;87512283;87514861;87514861;87516774;87516774;87519737;87519737;87520919;87520919;87522595;87522595;87527910;87527910;87532428;87532428;87533601;87533601;87535660;87535660;87536900;87536900;87538662;87538662;87539070;87539070;87542567;87542567;87543377;87543377;87549524;87549524;87551640;87551640;87554979;87554979;87555823;87555823	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4888	649	1346	523	492	815	1164	906	522	573	951	781	738	527	655	800	566	668	1077	675	715
Sept4	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	87578389;87581061;87581061;87581061;87583318;87583318;87583921;87583921;87583921;87583921;87584399;87584399;87584399;87584399;87585118;87585118;87585118;87585118;87588718;87588718;87588718;87588718;87588968;87588968;87588968;87588968;87589175;87589175;87589175;87589175;87589468;87589468;87589468;87589468;87589656;87589656;87589656;87589656;87589956;87589956;87590009;87590009;87590316;87590316;87590316;87590316	87578537;87581225;87581225;87581225;87583614;87583614;87584014;87584014;87584014;87584014;87584485;87584485;87584485;87584485;87585241;87585241;87585241;87585241;87588852;87588852;87588852;87588852;87589085;87589085;87589085;87589085;87589276;87589276;87589276;87589276;87589564;87589564;87589564;87589564;87589818;87589818;87589818;87589818;87590055;87590055;87590055;87590055;87590539;87590539;87590539;87590539	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1855	3	5	3	3	6	11	7	8	4	6	2	2	10	7	7	5	6	7	3	10
Mtmr4	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	87592217;87593389;87597196;87597615;87598863;87600504;87600774;87601059;87602408;87602780;87603388;87603987;87604418;87604682;87604996;87610933;87613422;87613772;87614076	87592250;87593433;87597285;87597731;87598945;87600664;87600870;87601172;87602604;87602908;87603499;87604182;87604603;87604852;87605150;87612316;87613532;87613860;87616296	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	5692	710	1164	659	653	807	848	745	535	408	739	758	808	642	652	982	644	716	633	837	614
Hsf5	chr11;chr11;chr11;chr11;chr11;chr11	87617164;87622745;87631592;87635611;87638070;87657297	87617905;87623119;87631689;87636132;87638244;87659542	+;+;+;+;+;+	4158	3	6	3	4	10	4	2	0	1	7	2	4	6	7	4	8	5	8	9	5
Rnf43	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	87663087;87664136;87718378;87727150;87727336;87728026;87729400;87730132;87731027;87734156	87663222;87664867;87718500;87727224;87727467;87728130;87729561;87730234;87732385;87735539	+;+;+;+;+;+;+;+;+;+	4311	0	0	11	0	2	3	0	0	2	4	3	2	0	0	0	1	1	1	1	1
1110028F11Rik	chr11;chr11	87699524;87704746	87701646;87705327	+;+	2705	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
Supt4a	chr11;chr11;chr11;chr11;chr11	87737565;87738167;87742796;87743058;87743246	87737668;87738273;87742851;87743111;87743617	+;+;+;+;+	693	406	363	232	242	301	303	279	252	214	362	354	329	241	235	328	348	290	336	328	224
Mir142b	chr11	87756841	87756955	-	115	10	7	13	4	4	10	11	6	7	6	5	6	9	8	6	1	4	7	2	5
Mir142	chr11	87756864	87756927	+	64	58	94	71	49	75	98	137	86	31	69	56	71	48	71	99	46	83	82	49	54
Bzrap1	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	87760541;87762437;87762781;87763460;87764198;87765628;87765793;87766113;87766366;87766717;87768430;87768801;87769678;87770411;87771659;87772057;87774524;87775502;87775973;87776425;87777047;87777767;87779229;87779425;87780203;87780882;87781302;87781490;87781682;87781945;87782660;87784736	87761728;87762544;87762909;87763639;87764383;87765705;87765876;87766202;87766488;87766821;87768480;87768821;87769882;87770583;87771774;87772166;87775354;87775653;87776338;87776664;87777235;87778606;87779328;87779576;87780371;87780953;87781334;87781593;87781753;87782049;87782710;87785928	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	7616	267	403	185	164	201	586	408	290	227	266	268	342	191	217	271	316	340	445	222	182
Mpo	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	87793784;87794537;87794774;87795196;87795798;87796017;87796230;87797324;87799864;87801030;87801581;87802512;87803398;87804325	87794075;87794614;87794867;87795371;87795921;87796146;87796436;87797642;87800024;87801285;87801751;87802749;87803609;87804412	+;+;+;+;+;+;+;+;+;+;+;+;+;+	2546	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
Lpo	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	87806428;87807243;87809127;87810116;87814247;87814897;87816412;87817298;87817734;87818395;87821066;87822199;87825742	87807054;87807480;87809300;87810368;87814407;87815221;87816618;87817427;87817851;87818549;87821153;87822276;87826114	-;-;-;-;-;-;-;-;-;-;-;-;-	2927	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
Mks1	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	87853225;87853737;87854978;87855472;87856563;87856808;87857187;87857861;87858603;87859615;87860077;87860714;87861110;87861269;87861985;87862568;87862741;87862937	87853329;87853846;87855048;87855627;87856660;87856936;87857291;87857978;87858659;87859657;87860142;87860784;87861179;87861376;87862118;87862650;87862838;87863679	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	2365	177	167	121	87	136	172	145	114	67	153	147	138	120	142	155	109	110	181	136	137
Epx	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	87863998;87864695;87865405;87868551;87869247;87869821;87871301;87872589;87874273;87874487;87874783;87875122;87875336	87864404;87864907;87865642;87868721;87869502;87869981;87871619;87872795;87874402;87874604;87874958;87875215;87875536	-;-;-;-;-;-;-;-;-;-;-;-;-	2691	0	1	1	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	2	0
Olfr462	chr11	87888959	87889894	-	936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr463	chr11	87892987	87893922	-	936	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Olfr464	chr11	87913920	87915003	-	1084	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Dynll2	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	87979525;87979525;87979525;87983872;87983872;87983872;87986328;87987243;87998214	87981570;87981570;87981570;87984010;87984010;87984010;87986585;87987533;87998298	-;-;-;-;-;-;-;-;-	2819	772	1085	580	440	668	735	755	510	335	767	857	785	595	534	763	915	855	621	701	603
Srsf1	chr11;chr11;chr11;chr11;chr11;chr11;chr11	88047373;88047373;88048490;88048490;88049043;88049043;88049412	88048032;88048032;88048674;88048674;88049215;88053757;88053757	+;+;+;+;+;+;+	5560	1802	2464	1383	1388	1846	1788	1930	1274	839	2066	2225	2163	1464	1621	2439	1884	1874	1525	1543	1698
Vezf1	chr11;chr11;chr11;chr11;chr11;chr11	88068279;88073057;88074662;88076191;88078403;88081398	88068433;88073751;88074725;88076374;88078555;88084729	+;+;+;+;+;+	4583	1461	1635	1080	1105	1301	1234	1431	1116	733	1538	1657	1519	1246	1235	1632	1324	1407	1015	1334	1029
2210416O15Rik	chr11;chr11;chr11;chr11	88098058;88098215;88098669;88098862	88098128;88098317;88098752;88100107	+;+;+;+	1504	7	4	7	1	3	2	1	6	2	3	5	6	2	1	5	5	7	0	3	1
Cuedc1	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	88099146;88169565;88169565;88177270;88177270;88182481;88182481;88183239;88183239;88184634;88184634;88187061;88187061;88187994;88187994;88188783;88188783;88190055;88190055;88192597;88192597	88099343;88170174;88170174;88177397;88177397;88182607;88182607;88183431;88183431;88184717;88184717;88187132;88187132;88188087;88188087;88188841;88188850;88190125;88190125;88194140;88194140	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3189	328	225	150	94	149	143	134	165	39	142	359	242	174	127	111	112	186	47	132	74
Mrps23	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	88194106;88204388;88204388;88204388;88204388;88204388;88205189;88205189;88205189;88205189;88209853;88209853;88209853;88209853;88209853;88209853;88210104;88210104;88210104;88210104;88210104;88210104;88210650;88210650;88210650;88210650;88210650;88210650	88194187;88204713;88204485;88204485;88204580;88204580;88205359;88205359;88205359;88205359;88209930;88209930;88209930;88209930;88209930;88209930;88210230;88210230;88210230;88210230;88210230;88210230;88211507;88211507;88211507;88211507;88211507;88211507	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1642	204	230	121	147	147	201	170	118	104	203	240	187	155	133	229	246	194	195	186	175
1700106J16Rik	chr11	88294043	88295261	+	1219	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Msi2	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	88339382;88347053;88348784;88366785;88386045;88394565;88413908;88480006;88590055;88685954;88687452;88687877;88712438;88712438;88716510;88716510;88717290;88717290;88717705;88717705;88718029;88718029	88344660;88347125;88348992;88366847;88386119;88394679;88413990;88480054;88590147;88686075;88687548;88687948;88712479;88712479;88716594;88716594;88717371;88717371;88717745;88717745;88718267;88718229	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	6819	833	882	612	551	771	732	912	567	373	891	888	974	710	644	1085	803	753	937	741	631
Mir378b	chr11	88352773	88352864	+	92	1	1	0	0	2	0	1	2	0	0	0	0	0	0	0	0	0	0	2	0
0610039H22Rik	chr11;chr11;chr11	88619251;88621172;88623310	88619770;88621264;88623426	+;+;+	730	4	0	2	3	7	0	3	3	0	5	6	1	5	6	0	1	0	1	3	3
C030037D09Rik	chr11;chr11;chr11;chr11	88718643;88720406;88727541;88728159	88719017;88720572;88727640;88728572	+;+;+;+	1056	11	12	10	8	12	19	5	10	6	7	11	6	10	7	6	7	9	14	4	3
Akap1	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	88830792;88830792;88830792;88832308;88832308;88832308;88833142;88833142;88833142;88834662;88834662;88834662;88835080;88835080;88835080;88837012;88837012;88837012;88838930;88838930;88838930;88839625;88839625;88839625;88841169;88841169;88841169;88843590;88844259;88844259;88844259;88851351;88851351;88864397	88831829;88831829;88831829;88832370;88832370;88832370;88833215;88833215;88833215;88834729;88834729;88834729;88835230;88835230;88835230;88837189;88837189;88837189;88839057;88839057;88839057;88839751;88839751;88839751;88841302;88841302;88841302;88843696;88845865;88845865;88845865;88851503;88851512;88864586	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4027	504	814	365	333	450	623	604	394	252	492	581	495	404	408	494	544	588	448	417	427
4930556N13Rik	chr11;chr11;chr11;chr11;chr11	88851604;88852202;88859278;88879712;88881155	88851836;88852283;88859645;88879821;88881395	+;+;+;+;+	1034	3	1	1	0	0	1	3	1	0	0	1	1	1	1	2	0	0	0	0	0
Scpep1os	chr11;chr11;chr11;chr11;chr11	88905928;88906474;88927812;88932288;88935856	88906044;88906668;88928004;88932387;88936061	+;+;+;+;+	811	159	123	101	64	151	117	105	103	92	101	113	77	104	83	118	53	89	78	64	85
Scpep1	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	88924020;88929165;88930208;88933448;88934578;88935823;88937014;88941284;88943797;88944375;88947145;88952406;88955294	88924724;88929328;88930345;88933561;88934671;88935951;88937051;88941356;88943871;88944530;88947234;88952554;88955442	-;-;-;-;-;-;-;-;-;-;-;-;-	2074	3390	4940	2010	2111	2843	3498	2424	1915	2009	2857	3143	2773	2061	2096	2661	3257	3133	3257	2729	2451
Gm15698	chr11;chr11	88964666;88966715	88965273;88966917	-;-	811	1	0	1	0	0	1	0	1	1	1	0	0	1	0	0	0	0	1	0	0
2210409E12Rik	chr11	88972638	88973014	+	377	2	2	1	1	1	5	0	1	0	1	0	3	0	0	1	0	3	1	1	0
Coil	chr11;chr11;chr11;chr11;chr11;chr11;chr11	88973935;88981069;88982289;88982603;88985017;88987979;88990668	88974202;88982167;88982375;88982650;88985086;88988067;88991613	+;+;+;+;+;+;+	2607	126	168	75	75	94	136	143	113	69	126	125	132	91	115	137	136	158	92	95	122
Trim25	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	88999403;89004729;89009119;89010805;89013476;89015167;89015533;89015719;89016195	89000082;89004824;89009352;89010973;89013538;89015190;89015631;89015817;89020293	+;+;+;+;+;+;+;+;+	5563	5619	3583	3394	3137	3608	4290	5017	3190	2569	4389	3235	3083	2728	2629	3475	3861	3009	4159	3391	2633
Dgke	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	89037582;89041448;89042162;89044240;89048889;89049849;89050319;89050669;89052427;89055358;89059931	89040911;89041559;89042289;89044311;89049002;89049900;89050476;89050812;89052546;89055517;89060748	-;-;-;-;-;-;-;-;-;-;-	5208	41	36	21	20	22	41	51	24	13	26	46	45	22	31	27	39	34	70	28	43
Dgkeos	chr11;chr11;chr11;chr11	89060751;89066120;89066446;89067340	89060823;89066219;89066497;89067884	+;+;+;+	770	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Gm525	chr11;chr11;chr11;chr11	89073841;89074989;89088556;89092886	89074005;89075089;89088691;89093064	+;+;+;+	581	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
Nog	chr11	89300638	89302559	-	1922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
4932411E22Rik	chr11;chr11;chr11;chr11	89390223;89405487;89411990;89418847	89392404;89405700;89412156;89418948	-;-;-;-	2665	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Ankfn1	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	89421086;89422769;89425528;89434623;89440727;89441330;89441914;89447557;89453107;89456049;89503899;89505174;89522998;89526446;89538420	89421277;89422919;89425694;89434838;89440843;89441462;89442013;89447664;89453197;89456146;89504012;89505368;89523208;89526647;89538555	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2231	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
Pctp	chr11;chr11;chr11;chr11;chr11;chr11	89983417;89986093;89987196;89988695;89991071;90002702	89984756;89986160;89987367;89988774;89991188;90002894	-;-;-;-;-;-	1971	288	318	182	172	177	313	246	147	146	208	324	276	192	196	256	343	286	366	225	225
Tmem100	chr11;chr11;chr11	90030348;90033590;90035276	90030743;90033727;90036505	+;+;+	1764	0	1	4	0	0	0	6	2	3	0	0	0	0	0	0	1	1	0	0	0
Mmd	chr11;chr11;chr11;chr11;chr11;chr11;chr11	90249476;90257520;90259827;90264503;90266045;90267512;90276663	90249735;90257601;90259987;90264577;90266146;90267581;90278573	+;+;+;+;+;+;+	2661	489	178	244	155	216	278	325	289	147	287	320	281	213	156	298	287	313	96	273	243
Hlf	chr11;chr11;chr11;chr11	90336535;90345758;90387786;90390250	90340974;90345978;90388121;90390917	-;-;-;-	5665	0	0	1	0	1	1	3	1	0	0	1	1	0	0	1	7	0	2	3	1
Stxbp4	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	90476493;90494602;90535480;90537911;90540166;90548811;90571722;90575250;90592332;90594745;90600186;90605953;90606968;90607345;90619183;90621655;90622192;90638033	90480714;90494659;90535613;90537960;90540282;90548987;90571787;90575339;90592423;90594841;90600280;90606031;90607184;90607451;90619315;90621782;90622261;90638108	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	6008	76	131	61	54	98	77	103	73	57	66	82	82	79	98	118	66	85	49	59	53
Cox11	chr11;chr11;chr11;chr11	90638184;90640377;90643653;90644370	90638552;90640532;90643778;90645977	+;+;+;+	2259	73	89	64	61	84	85	104	99	40	87	96	78	74	84	90	92	87	79	74	76
Tom1l1	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	90645691;90646835;90649348;90649786;90651911;90656351;90657714;90658148;90661756;90671084;90672833;90673664;90674670;90683235;90685062;90687513	90646309;90646899;90649423;90649888;90651962;90656450;90657831;90658208;90661889;90671200;90672937;90673786;90674819;90683330;90685146;90687601	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	2093	44	32	26	25	26	37	35	30	18	46	26	23	22	28	31	30	26	118	20	18
